Uniprot	Gene_name	Used_as_a_bait_in_this_study	Number_of_citations (if_the_kinase_is_used_as_a_bait_here)	Family	Family_simple	Subfamily	Primary Reference: http://www.uniprot.org/docs/pkinfam.txt	Primary reference: original Uniprot annotation (as of 160708)	Secondary reference: original Manning annotation (as of 160708)	Notes
Q7Z695	ADCK2	TRUE	11	Atypical	Atypical	Atypical ADCK protein kinase family	Atypical	Protein kinase superfamily; ADCK protein kinase family	"Atypical:ABC1:ABC1-C	"	Used Manning for classification as Atypical
Q86TW2	ADCK1	TRUE	14	Atypical	Atypical	Atypical ADCK protein kinase family	Atypical	Protein kinase superfamily; ADCK protein kinase family	"Atypical:ABC1:ABC1-B	"	Used Manning for classification as Atypical
Q8NI60	ADCK3	TRUE	30	Atypical	Atypical	Atypical ADCK protein kinase family	Atypical	Protein kinase superfamily; ADCK protein kinase family	"Atypical:ABC1:ABC1-A	"	Used Manning for classification as Atypical
Q96D53	ADCK4	TRUE	17	Atypical	Atypical	Atypical ADCK protein kinase family	Atypical	Protein kinase superfamily; ADCK protein kinase family	"Atypical:ABC1:ABC1-A	"	Used Manning for classification as Atypical
O00418	eEF2K	TRUE	61	Atypical	Atypical	Atypical Alpha-type protein kinase family/ALPK subfamily	Atypical	Protein kinase superfamily; Alpha-type protein kinase family	"Atypical:Alpha:eEF2K	"	Used Manning for classification as Atypical
Q86TB3	ALPK2	FALSE	/	Atypical	Atypical	Atypical Alpha-type protein kinase family/ALPK subfamily	Atypical	Protein kinase superfamily; Alpha-type protein kinase family; ALPK subfamily	Atypical : Alpha : Alpha-Unclassified	Used Manning for classification as Atypical
Q96L96	ALP3K	FALSE	/	Atypical	Atypical	Atypical Alpha-type protein kinase family/ALPK subfamily	Atypical	Protein kinase superfamily; Alpha-type protein kinase family; ALPK subfamily	Atypical : Alpha : Alpha-Unclassified	Used Manning for classification as Atypical
Q96QP1	ALPK1	FALSE	/	Atypical	Atypical	Atypical Alpha-type protein kinase family/ALPK subfamily	Atypical	Protein kinase superfamily; Alpha-type protein kinase family; ALPK subfamily	Atypical : Alpha : Alpha-Unclassified	Used Manning for classification as Atypical
Q96QT4	ChaK1	FALSE	/	Atypical	Atypical	Atypical Alpha-type protein kinase family/ALPK subfamily	Atypical	Protein kinase superfamily; Alpha-type protein kinase family; ALPK subfamily; Transient receptor (TC 1.A.4) family; LTrpC subfamily; TRPM7 sub-subfamily	"Atypical:Alpha:ChaK	"	Used Manning for classification as Atypical
Q9BX84	ChaK2	FALSE	/	Atypical	Atypical	Atypical Alpha-type protein kinase family/ALPK subfamily	Atypical	Protein kinase superfamily; Alpha-type protein kinase family; ALPK subfamily; Transient receptor (TC 1.A.4) family; LTrpC subfamily; TRPM6 sub-subfamily	"Atypical:Alpha:ChaK	"	Used Manning for classification as Atypical
Q14296	FASTK	TRUE	25	Atypical	Atypical	Atypical FAST protein kinase family	Atypical	FAST protein kinase family	"Atypical:FAST	"	Used Manning for classification as Atypical
O14874	BCKDK	TRUE	26	Atypical	Atypical	Atypical PDK/BCKDK protein kinase family	Atypical	PDK/BCKDK protein kinase family	"Atypical:PDHK:BCKDK	"	Used Manning for classification as Atypical
Q15118	PDHK1	TRUE	67	Atypical	Atypical	Atypical PDK/BCKDK protein kinase family	Atypical	PDK/BCKDK protein kinase family	"Atypical:PDHK:PDHK	"	Used Manning for classification as Atypical
Q15119	PDHK2	TRUE	52	Atypical	Atypical	Atypical PDK/BCKDK protein kinase family	Atypical	PDK/BCKDK protein kinase family	"Atypical:PDHK:PDHK	"	Used Manning for classification as Atypical
Q15120	PDHK3	TRUE	30	Atypical	Atypical	Atypical PDK/BCKDK protein kinase family	Atypical	PDK/BCKDK protein kinase family	"Atypical:PDHK:PDHK	"	Used Manning for classification as Atypical
Q16654	PDHK4	TRUE	60	Atypical	Atypical	Atypical PDK/BCKDK protein kinase family	Atypical	PDK/BCKDK protein kinase family	"Atypical:PDHK:PDHK	"	Used Manning for classification as Atypical
P42345	FRAP	FALSE	/	Atypical	Atypical	Atypical PI3/PI4-kinase family	Atypical	PI3/PI4-kinase family	"Atypical:PIKK:FRAP	"	Used Manning for classification as Atypical
P48736	PIK3CG	FALSE	/	Atypical	Atypical	Atypical PI3/PI4-kinase family	Atypical	PI3/PI4-kinase family	not found	/
P78527	PRKDC	FALSE	/	Atypical	Atypical	Atypical PI3/PI4-kinase family	Atypical	PI3/PI4-kinase family	Atypical : PIKK : DNAPK	Used Manning for classification as Atypical
Q13315	ATM	FALSE	/	Atypical	Atypical	Atypical PI3/PI4-kinase family	Atypical	PI3/PI4-kinase family; ATM subfamily	"Atypical:PIKK:ATM	"	Used Manning for classification as Atypical
Q13535	ATR	FALSE	/	Atypical	Atypical	Atypical PI3/PI4-kinase family	Atypical	PI3/PI4-kinase family; ATM subfamily	"Atypical:PIKK:ATR	"	Used Manning for classification as Atypical
Q96Q15	SMG1	FALSE	/	Atypical	Atypical	Atypical PI3/PI4-kinase family	Atypical	PI3/PI4-kinase family	"Atypical:PIKK:SMG1	"	Used Manning for classification as Atypical
O14730	RIOK3	FALSE	/	Atypical	Atypical	Atypical RIO-type Ser/Thr kinase family	Atypical	Protein kinase superfamily; RIO-type Ser/Thr kinase family	"Atypical:RIO:RIO3	"	Used Manning for classification as Atypical
Q9BRS2	RIOK1	TRUE	33	Atypical	Atypical	Atypical RIO-type Ser/Thr kinase family	Atypical	Protein kinase superfamily; RIO-type Ser/Thr kinase family	"Atypical:RIO:RIO1	"	Used Manning for classification as Atypical
Q9BVS4	RIOK2	TRUE	24	Atypical	Atypical	Atypical RIO-type Ser/Thr kinase family	Atypical	Protein kinase superfamily; RIO-type Ser/Thr kinase family	"Atypical:RIO:RIO2	"	Used Manning for classification as Atypical
P42336	PIK3CA	FALSE	/	Atypical	Atypical	/	Atypical	PI3/PI4-kinase family	not found	/
P49137	MAPKAPK2	FALSE	/	CAMK Ser/Thr protein kinase family	CAMK	Manning: MAPKAPK	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family	"CAMK:MAPKAPK:MK2	"	/
Q16644	MAPKAPK3	TRUE	51	CAMK Ser/Thr protein kinase family	CAMK	Manning: MAPKAPK	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family	"CAMK:MAPKAPK:MK2	"	/
Q8IW41	MAPKAPK5	TRUE	44	CAMK Ser/Thr protein kinase family	CAMK	Manning: MAPKAPK	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family	"CAMK:MAPKAPK:MK5	"	/
Q9BUB5	MNK1	TRUE	70	CAMK Ser/Thr protein kinase family	CAMK	Manning: MAPKAPK	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family	"CAMK:MAPKAPK:MNK	"	/
Q9HBH9	MNK2	TRUE	35	CAMK Ser/Thr protein kinase family	CAMK	Manning: MAPKAPK	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family	"CAMK:MAPKAPK:MNK	"	/
Q8IY84	NIM1	TRUE	5	CAMK Ser/Thr protein kinase family	CAMK	Manning: CAMKL	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family	"CAMK:CAMKL:NIM1	"	/
Q96RG2	PASK	FALSE	/	CAMK Ser/Thr protein kinase family	CAMK	Manning: CAMKL	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family	"CAMK:CAMKL:PASK	"	/
Q9NRH2	SNRK	TRUE	20	CAMK Ser/Thr protein kinase family	CAMK	Manning: CAMKL	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family	"CAMK:CAMKL:SNRK	"	/
O60229	Trad	FALSE	/	CAMK Ser/Thr protein kinase family	CAMK	Manning: Trio	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family	"CAMK:Trio	"	/
O75962	Trio	FALSE	/	CAMK Ser/Thr protein kinase family	CAMK	Manning: Trio	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family	"CAMK:Trio	"	/
P11801	PSKH1	TRUE	19	CAMK Ser/Thr protein kinase family	CAMK	Manning: PSK	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family	"CAMK:PSK	"	/
P15735	PHKg2	TRUE	31	CAMK Ser/Thr protein kinase family	CAMK	Manning: PHK	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family	"CAMK:PHK	"	/
Q15746	MYLK	TRUE	118	CAMK Ser/Thr protein kinase family	CAMK	Manning: MLCK	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family	CAMK : MLCK	/
Q15772	SPEG	FALSE	/	CAMK Ser/Thr protein kinase family	CAMK	Manning: Trio	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family	"CAMK:Trio	"	/
Q16816	PHKg1	FALSE	/	CAMK Ser/Thr protein kinase family	CAMK	Manning: PHK	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family	"CAMK:PHK	"	/
Q32MK0	MYLK3	FALSE	/	CAMK Ser/Thr protein kinase family	CAMK	Manning: MLCK	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family	"CAMK:MLCK	"	/
Q5VST9	Obscn	TRUE	45	CAMK Ser/Thr protein kinase family	CAMK	Manning: Trio	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family	"CAMK:Trio	"	/
Q6SA08	TSSK4	FALSE	/	CAMK Ser/Thr protein kinase family	CAMK	Manning: TSSK	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family	"CAMK:TSSK	"	/
Q86YV6	SgK085	TRUE	12	CAMK Ser/Thr protein kinase family	CAMK	Manning: MLCK	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family	"CAMK:MLCK	"	/
Q8N2I9	SgK495	TRUE	25	CAMK Ser/Thr protein kinase family	CAMK	Manning: SgK495	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family	"CAMK:SgK495	"	/
Q8NCB2	CAMKV	TRUE	15	CAMK Ser/Thr protein kinase family	CAMK	/	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family	CAMK : CAMK-Unique	/
Q8WZ42	TTN	FALSE	/	CAMK Ser/Thr protein kinase family	CAMK	Manning: MLCK	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family	"CAMK:MLCK	"	/
Q96PF2	TSSK2	TRUE	19	CAMK Ser/Thr protein kinase family	CAMK	Manning: TSSK	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family	"CAMK:TSSK	"	/
Q96PN8	TSSK3	TRUE	10	CAMK Ser/Thr protein kinase family	CAMK	Manning: TSSK	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family	"CAMK:TSSK	"	/
Q96QS6	PSKH2	TRUE	8	CAMK Ser/Thr protein kinase family	CAMK	Manning: PSK	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family	"CAMK:PSK	"	/
Q9BXA6	SSTK	TRUE	13	CAMK Ser/Thr protein kinase family	CAMK	Manning: TSSK	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family	"CAMK:TSSK	"	/
Q9BXA7	TSSK1	TRUE	14	CAMK Ser/Thr protein kinase family	CAMK	Manning: TSSK	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family	"CAMK:TSSK	"	/
Q9H1R3	MYLK2	TRUE	31	CAMK Ser/Thr protein kinase family	CAMK	Manning: MLCK	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family	CAMK : MLCK	/
P57059	SIK	TRUE	33	CAMK Ser/Thr protein kinase family	CAMK	AMPK subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; AMPK subfamily	"CAMK:CAMKL:QIK	"	/
O15075	DCLK1	TRUE	71	CAMK Ser/Thr protein kinase family	CAMK	CaMK subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; CaMK subfamily	"CAMK:DCAMKL	"	/
Q13554	CaMK2b	TRUE	82	CAMK Ser/Thr protein kinase family	CAMK	CaMK subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; CaMK subfamily	"CAMK:CAMK2	"	/
Q13555	CaMK2g	TRUE	137	CAMK Ser/Thr protein kinase family	CAMK	CaMK subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; CaMK subfamily	"CAMK:CAMK2	"	/
Q13557	CaMK2d	TRUE	83	CAMK Ser/Thr protein kinase family	CAMK	CaMK subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; CaMK subfamily	"CAMK:CAMK2	"	/
Q14012	CAMK1	TRUE	57	CAMK Ser/Thr protein kinase family	CAMK	CaMK subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; CaMK subfamily	CAMK : CAMK1	/
Q16566	CaMK4	TRUE	77	CAMK Ser/Thr protein kinase family	CAMK	CaMK subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; CaMK subfamily	"CAMK:CAMK1	"	/
Q6P2M8	PNCK	FALSE	/	CAMK Ser/Thr protein kinase family	CAMK	CaMK subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; CaMK subfamily	CAMK : CAMK1	/
Q8IU85	CaMK1d	TRUE	59	CAMK Ser/Thr protein kinase family	CAMK	CaMK subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; CaMK subfamily	"CAMK:CAMK1	"	/
Q8N568	DCLK2	TRUE	16	CAMK Ser/Thr protein kinase family	CAMK	CaMK subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; CaMK subfamily	"CAMK:DCAMKL	"	/
Q96NX5	CaMK1g	FALSE	/	CAMK Ser/Thr protein kinase family	CAMK	CaMK subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; CaMK subfamily	"CAMK:CAMK1	"	/
Q9BYT3	STK33	TRUE	20	CAMK Ser/Thr protein kinase family	CAMK	CaMK subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; CaMK subfamily	"CAMK:STK33	"	/
Q9C098	DCLK3	FALSE	/	CAMK Ser/Thr protein kinase family	CAMK	CaMK subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; CaMK subfamily	"CAMK:DCAMKL	"	/
Q9UQM7	CaMK2a	TRUE	162	CAMK Ser/Thr protein kinase family	CAMK	CaMK subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; CaMK subfamily	"AGC:Akt	"	/
O14936	CASK	TRUE	101	CAMK Ser/Thr protein kinase family	CAMK	CaMK subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; CaMK subfamily; MAGUK family	"CAMK:CASK	"	/
O96017	CHK2	TRUE	508	CAMK Ser/Thr protein kinase family	CAMK	CHK2 subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; CHK2 subfamily	"CAMK:RAD53	"	/
O43293	DAPK3	TRUE	51	CAMK Ser/Thr protein kinase family	CAMK	DAP kinase subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; DAP kinase subfamily	"CAMK:DAPK:DAPK	"	/
O94768	DRAK2	TRUE	18	CAMK Ser/Thr protein kinase family	CAMK	DAP kinase subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; DAP kinase subfamily	"CAMK:DAPK:DRAK	"	/
