Unip_ID	Kin_name	NetPhorest	Family	Subfamily	Alt_name	Classif_based_on	
O00141	SGK1	SGK1_SGK3_group	AGC	/	/	KINASE	SGK1
Q96BR1	SGK3	SGK1_SGK3_group	AGC	/	/	KINASE	SGK3
O00141	SGK1	SGK1	AGC	/	/	KINASE	SGK1
Q96BR1	SGK3	SGK3	AGC	/	/	KINASE	SGK3
Q9HBY8	SGK2	SGK2	AGC	/	/	KINASE	SGK2
P17252	PKCa	PKC_group	AGC	PKC	/	KINASE	PKCalpha
P05771	PKCb	PKC_group	AGC	PKC	/	KINASE	PKCbeta
P05129	PKCg	PKC_group	AGC	PKC	/	KINASE	PKCgamma
Q02156	PRKCE	PKC_group	AGC	PKC	PKCE	KINASE	PKCeta
Q02156	PRKCE	PKC_group	AGC	PKC	PKCE	KINASE	PKCepsilon
P17252	PKCa	PKCalpha_PKCbeta_PKCgamma_group	AGC	PKC	/	KINASE	PKCalpha
P05771	PKCb	PKCalpha_PKCbeta_PKCgamma_group	AGC	PKC	/	KINASE	PKCbeta
P05129	PKCg	PKCalpha_PKCbeta_PKCgamma_group	AGC	PKC	/	KINASE	PKCgamma
P17252	PKCa	PKCalpha_PKCbeta_group	AGC	PKC	/	KINASE	PKCalpha
P05771	PKCb	PKCalpha_PKCbeta_group	AGC	PKC	/	KINASE	PKCbeta
P17252	PKCa	PKCalpha	AGC	PKC	/	KINASE	PKCalpha
P05771	PKCb	PKCbeta	AGC	PKC	/	KINASE	PKCbeta
P05129	PKCg	PKCgamma	AGC	PKC	/	KINASE	PKCgamma
Q02156	PRKCE	PKCeta_PKCepsilon_group	AGC	PKC	PKCE	KINASE	PKCeta
Q02156	PRKCE	PKCeta_PKCepsilon_group	AGC	PKC	PKCE	KINASE	PKCepsilon
Q02156	PRKCE	PKCeta	AGC	PKC	PKCE	KINASE	PKCeta
Q02156	PRKCE	PKCepsilon	AGC	PKC	PKCE	KINASE	PKCepsilon
Q16513	PKN2	PKN_group	AGC	PKC	/	KINASE	PKN2
Q6P5Z2	PKN3	PKN_group	AGC	PKC	/	KINASE	PKN3
Q16513	PKN2	PKN1_PKN2_group	AGC	PKC	/	KINASE	PKN2
Q16513	PKN2	PKN2	AGC	PKC	/	KINASE	PKN2
Q6P5Z2	PKN3	PKN3	AGC	PKC	/	KINASE	PKN3
O75676	MSK2	MSK_group	AGC	S6 kinase	RPS6KA4	KINASE	RPS6KA4
O75676	MSK2	RPS6KA4	AGC	S6 kinase	RPS6KA4	KINASE	RPS6KA4
Q15418	RSK1	RSK_group	AGC	S6 kinase	/	KINASE	RSK1
P51812	RSK2	RSK_group	AGC	S6 kinase	/	KINASE	RSK2
Q15349	RSK3	RSK_group	AGC	S6 kinase	/	KINASE	RSK3
Q9UK32	RSK4	RSK_group	AGC	S6 kinase	/	KINASE	RSK4
Q15418	RSK1	RSK1_RSK2_RSK3_group	AGC	S6 kinase	/	KINASE	RSK1
P51812	RSK2	RSK1_RSK2_RSK3_group	AGC	S6 kinase	/	KINASE	RSK2
Q15349	RSK3	RSK1_RSK2_RSK3_group	AGC	S6 kinase	/	KINASE	RSK3
Q15418	RSK1	RSK1_RSK2_group	AGC	S6 kinase	/	KINASE	RSK1
P51812	RSK2	RSK1_RSK2_group	AGC	S6 kinase	/	KINASE	RSK2
Q15418	RSK1	RSK1	AGC	S6 kinase	/	KINASE	RSK1
P51812	RSK2	RSK2	AGC	S6 kinase	/	KINASE	RSK2
Q15349	RSK3	RSK3	AGC	S6 kinase	/	KINASE	RSK3
Q9UK32	RSK4	RSK4	AGC	S6 kinase	/	KINASE	RSK4
P25098	BARK1	GRK_group	AGC	GPRK	GRK2	KINASE	GRK2
Q8WTQ7	GPRK7	GRK_group	AGC	GPRK	GRK7	KINASE	GRK7
P32298	GPRK4	GRK_group	AGC	GPRK	GRK4	KINASE	GRK4
P43250	GPRK6	GRK_group	AGC	GPRK	GRK6	KINASE	GRK6
P25098	BARK1	GRK2_GRK3_group	AGC	GPRK	GRK2	KINASE	GRK2
P25098	BARK1	GRK2	AGC	GPRK	GRK2	KINASE	GRK2
Q8WTQ7	GPRK7	GRK4_GRK5_GRK6_GRK1_GRK7_group	AGC	GPRK	GRK7	KINASE	GRK7
P32298	GPRK4	GRK4_GRK5_GRK6_GRK1_GRK7_group	AGC	GPRK	GRK4	KINASE	GRK4
P43250	GPRK6	GRK4_GRK5_GRK6_GRK1_GRK7_group	AGC	GPRK	GRK6	KINASE	GRK6
Q8WTQ7	GPRK7	GRK1_GRK7_group	AGC	GPRK	GRK7	KINASE	GRK7
Q8WTQ7	GPRK7	GRK7	AGC	GPRK	GRK7	KINASE	GRK7
P32298	GPRK4	GRK4_GRK5_GRK6_group	AGC	GPRK	GRK4	KINASE	GRK4
P43250	GPRK6	GRK4_GRK5_GRK6_group	AGC	GPRK	GRK6	KINASE	GRK6
P32298	GPRK4	GRK4_GRK5_group	AGC	GPRK	GRK4	KINASE	GRK4
P32298	GPRK4	GRK4	AGC	GPRK	GRK4	KINASE	GRK4
P43250	GPRK6	GRK6	AGC	GPRK	GRK6	KINASE	GRK6
O75116	ROCK	ROCK_group	AGC	ROCK	/	KINASE	ROCK2
O75116	ROCK	ROCK_group	AGC	ROCK	/	KINASE	ROCK1
O75116	ROCK	ROCK2	AGC	ROCK	/	KINASE	ROCK2
O75116	ROCK	ROCK1	AGC	ROCK	/	KINASE	ROCK1
Q15208	NDR1	NDR1_NDR2_group	AGC	NDR	/	KINASE	NDR1
Q15208	NDR1	NDR1	AGC	NDR	/	KINASE	NDR1
Q9NRM7	LATS2	LATS1_LATS2_group	AGC	LATS	/	KINASE	LATS2
Q9NRM7	LATS2	LATS2	AGC	LATS	/	KINASE	LATS2
Q9Y2H9	MAST1	MAST_group	AGC	QIK	/	KINASE	MAST1
Q9Y2H9	MAST1	MAST3_MAST2_MAST1_MAST4_group	AGC	QIK	/	KINASE	MAST1
Q9Y2H9	MAST1	MAST2_MAST1_MAST4_group	AGC	QIK	/	KINASE	MAST1
Q9Y2H9	MAST1	MAST1_MAST4_group	AGC	QIK	/	KINASE	MAST1
Q9Y2H9	MAST1	MAST1	AGC	QIK	/	KINASE	MAST1
Q86UX6	YANK3	YANK_group	other	/	/	KINASE	YANK3
Q9NY57	YANK2	YANK_group	other	/	/	KINASE	YANK2
Q8WU08	YANK1	YANK_group	other	/	/	KINASE	YANK1
Q86UX6	YANK3	YANK3	other	/	/	KINASE	YANK3
Q9NY57	YANK2	YANK2_YANK1_group	other	/	/	KINASE	YANK2
Q8WU08	YANK1	YANK2_YANK1_group	other	/	/	KINASE	YANK1
Q9NY57	YANK2	YANK2	other	/	/	KINASE	YANK2
Q8WU08	YANK1	YANK1	other	/	/	KINASE	YANK1
P51817	PRKX	PRKX_PRKY_group	AGC	cAMP	/	KINASE	PRKX
P51817	PRKX	PRKX	AGC	cAMP	/	KINASE	PRKX
O15530	PDK1	PDK1	AGC	PDPK1	/	KINASE	PDK1
P53350	PLK1	PLK_group	other	CDC5/Polo	/	KINASE	PLK1
Q9H4B4	PLK3	PLK_group	other	CDC5/Polo	/	KINASE	PLK3
Q9NYY3	PLK2	PLK_group	other	CDC5/Polo	/	KINASE	PLK2
P53350	PLK1	PLK_group	other	CDC5/Polo	PLK	KINASE	PLK4
P53350	PLK1	PLK1_PLK2_PLK3_group	other	CDC5/Polo	/	KINASE	PLK1
Q9H4B4	PLK3	PLK1_PLK2_PLK3_group	other	CDC5/Polo	/	KINASE	PLK3
Q9NYY3	PLK2	PLK1_PLK2_PLK3_group	other	CDC5/Polo	/	KINASE	PLK2
P53350	PLK1	PLK1	other	CDC5/Polo	/	KINASE	PLK1
Q9H4B4	PLK3	PLK3_PLK2_group	other	CDC5/Polo	/	KINASE	PLK3
Q9NYY3	PLK2	PLK3_PLK2_group	other	CDC5/Polo	/	KINASE	PLK2
Q9H4B4	PLK3	PLK3	other	CDC5/Polo	/	KINASE	PLK3
Q9NYY3	PLK2	PLK2	other	CDC5/Polo	/	KINASE	PLK2
P53350	PLK1	PLK4	other	CDC5/Polo	PLK	KINASE	PLK4
O75385	ULK1	ULK_group	other	APG1/unc-51/ULK1	/	KINASE	ULK1
Q6PHR2	ULK3	ULK_group	other	APG1/unc-51/ULK1	/	KINASE	ULK3
Q96C45	ULK4	ULK_group	other	APG1/unc-51/ULK1	/	KINASE	ULK4
O75385	ULK1	ULK1_ULK2_ULK3_group	other	APG1/unc-51/ULK1	/	KINASE	ULK1
Q6PHR2	ULK3	ULK1_ULK2_ULK3_group	other	APG1/unc-51/ULK1	/	KINASE	ULK3
O75385	ULK1	ULK1_ULK2_group	other	APG1/unc-51/ULK1	/	KINASE	ULK1
O75385	ULK1	ULK1	other	APG1/unc-51/ULK1	/	KINASE	ULK1
Q6PHR2	ULK3	ULK3	other	APG1/unc-51/ULK1	/	KINASE	ULK3
Q96C45	ULK4	ULK4_Fused_group	other	APG1/unc-51/ULK1	/	KINASE	ULK4
Q96C45	ULK4	ULK4	other	APG1/unc-51/ULK1	/	KINASE	ULK4
Q16566	CaMK4	CAMK_group	CAMK	CaMK	CAMK	KINASE	CaMKIV
Q16566	CaMK4	CAMK_group	CAMK	CaMK	CAMKIV	KINASE	CaMKIV
Q16566	CaMK4	CAMK_group	CAMK	CaMK	CAMK	KINASE	CaMKIgamma
Q16566	CaMK4	CAMK_group	CAMK	CaMK	CAMK	KINASE	CaMKIalpha
Q16566	CaMK4	CAMK_group	CAMK	CaMK	CAMK	KINASE	CaMKIdelta
Q8IU85	CaMK1d	CAMK_group	CAMK	CaMK	CAMKID	KINASE	CaMKIdelta
Q16566	CaMK4	CAMK_group	CAMK	CaMK	CAMK	KINASE	CaMKIbeta
P11801	PSKH1	CAMK_group	CAMK	/	/	KINASE	PSKH1
Q96QS6	PSKH2	CAMK_group	CAMK	/	/	KINASE	PSKH2
O15075	DCLK1	CAMK_group	CAMK	CaMK	DCAMKL1	KINASE	DCAMKL1
Q8N568	DCLK2	CAMK_group	CAMK	CaMK	DCAMKL2	KINASE	DCAMKL2
Q16566	CaMK4	CAMK_group	CAMK	CaMK	CAMK	KINASE	CaMKIIalpha
Q16566	CaMK4	CAMK_group	CAMK	CaMK	CAMK	KINASE	CaMKIIdelta
Q16566	CaMK4	CAMK_group	CAMK	CaMK	CAMK	KINASE	CaMKIIbeta
Q16566	CaMK4	CAMK_group	CAMK	CaMK	CAMK	KINASE	CaMKIIgamma
O14936	CASK	CAMK_group	CAMK	CaMK; MAGUK family	/	KINASE	CASK
P15735	PHKg2	CAMK_group	CAMK	/	/	KINASE	PHKg2
Q16644	MAPKAPK3	CAMK_group	CAMK	MK2	/	KINASE	MAPKAPK3
Q8IW41	MAPKAPK5	CAMK_group	CAMK	MK5	/	KINASE	MAPKAPK5
Q9BUB5	MNK1	CAMK_group	CAMK	MNK	/	KINASE	Mnk1
Q9HBH9	MNK2	CAMK_group	CAMK	MNK	/	KINASE	Mnk2
Q9BZL6	PRKD2	CAMK_group	CAMK	PKD	PKD2	KINASE	PKD2
O96017	CHK2	CAMK_group	CAMK	CHK2	/	KINASE	CHK2
P54646	PRKAA2	CAMK_group	CAMK	SNF1	AMPK	KINASE	AMPKa1
P54646	PRKAA2	CAMK_group	CAMK	SNF1	AMPK	KINASE	AMPKa2
Q8IWQ3	BRSK2	CAMK_group	CAMK	SNF1	/	KINASE	BRSK2
Q8TDC3	BRSK1	CAMK_group	CAMK	SNF1	/	KINASE	BRSK1
P27448	MARK3	CAMK_group	CAMK	SNF1	/	KINASE	MARK3
Q7KZI7	MARK2	CAMK_group	CAMK	SNF1	/	KINASE	MARK2
Q9Y2K2	QSK	CAMK_group	CAMK	SNF1	/	KINASE	QSK
P57059	SIK	CAMK_group	CAMK	AMPK	/	KINASE	SIK
O60285	NuaK1	CAMK_group	CAMK	SNF1	/	KINASE	NuaK1
Q9H093	NuaK2	CAMK_group	CAMK	SNF1	/	KINASE	NuaK2
Q14680	MELK	CAMK_group	CAMK	SNF1	/	KINASE	MELK
O14757	CHK1	CAMK_group	CAMK	NIM1	/	KINASE	CHK1
Q15831	LKB1	CAMK_group	CAMK	LKB1	/	KINASE	LKB1
Q8IY84	NIM1	CAMK_group	CAMK	NIM1	/	KINASE	NIM1
Q9NRH2	SNRK	CAMK_group	CAMK	SNRK	/	KINASE	SNRK
Q9BXA6	SSTK	CAMK_group	CAMK	/	/	KINASE	SSTK
Q96PN8	TSSK3	CAMK_group	CAMK	/	/	KINASE	TSSK3
Q96PF2	TSSK2	CAMK_group	CAMK	/	/	KINASE	TSSK2
Q9BXA7	TSSK1	CAMK_group	CAMK	/	/	KINASE	TSSK1
Q86V86	PIM3	CAMK_group	CAMK	PIM	/	KINASE	Pim3
P11309	PIM1	CAMK_group	CAMK	PIM	/	KINASE	Pim1
Q9P1W9	PIM2	CAMK_group	CAMK	PIM	/	KINASE	Pim2
Q8N2I9	SgK495	CAMK_group	CAMK	/	/	KINASE	SgK495
Q96RU8	Trb1	CAMK_group	CAMK	Tribbles	/	KINASE	Trb1
Q92519	Trb2	CAMK_group	CAMK	Tribbles	/	KINASE	Trb2
Q96RU7	Trb3	CAMK_group	CAMK	Tribbles	/	KINASE	Trb3
Q9BYT3	STK33	CAMK_group	CAMK	CaMK	/	KINASE	STK33
P53355	DAPK1	CAMK_group	CAMK	DAP kinase	/	KINASE	DAPK1
O43293	DAPK3	CAMK_group	CAMK	DAP kinase	/	KINASE	DAPK3
P53355	DAPK1	CAMK_group	CAMK	DAP kinase	DAPK	KINASE	DAPK2
O94768	DRAK2	CAMK_group	CAMK	DAP kinase	/	KINASE	DRAK2
Q86YV6	SgK085	CAMK_group	CAMK	/	/	KINASE	SgK085
Q5VST9	Obscn	CAMK_group	CAMK	/	/	KINASE	Obscn
Q16566	CaMK4	CaMKIV	CAMK	CaMK	CAMK	KINASE	CaMKIV
Q16566	CaMK4	CaMKIV	CAMK	CaMK	CAMKIV	KINASE	CaMKIV
Q16566	CaMK4	CaMKI_group	CAMK	CaMK	CAMK	KINASE	CaMKIgamma
Q16566	CaMK4	CaMKI_group	CAMK	CaMK	CAMK	KINASE	CaMKIalpha
Q16566	CaMK4	CaMKI_group	CAMK	CaMK	CAMK	KINASE	CaMKIdelta
Q8IU85	CaMK1d	CaMKI_group	CAMK	CaMK	CAMKID	KINASE	CaMKIdelta
Q16566	CaMK4	CaMKI_group	CAMK	CaMK	CAMK	KINASE	CaMKIbeta
Q16566	CaMK4	CaMKIgamma_CaMKIalpha_CaMKIdelta_group	CAMK	CaMK	CAMK	KINASE	CaMKIgamma
Q16566	CaMK4	CaMKIgamma_CaMKIalpha_CaMKIdelta_group	CAMK	CaMK	CAMK	KINASE	CaMKIalpha
Q16566	CaMK4	CaMKIgamma_CaMKIalpha_CaMKIdelta_group	CAMK	CaMK	CAMK	KINASE	CaMKIdelta
Q8IU85	CaMK1d	CaMKIgamma_CaMKIalpha_CaMKIdelta_group	CAMK	CaMK	CAMKID	KINASE	CaMKIdelta
Q16566	CaMK4	CaMKIgamma	CAMK	CaMK	CAMK	KINASE	CaMKIgamma
Q16566	CaMK4	CaMKIalpha_CaMKIdelta_group	CAMK	CaMK	CAMK	KINASE	CaMKIalpha
Q16566	CaMK4	CaMKIalpha_CaMKIdelta_group	CAMK	CaMK	CAMK	KINASE	CaMKIdelta
Q8IU85	CaMK1d	CaMKIalpha_CaMKIdelta_group	CAMK	CaMK	CAMKID	KINASE	CaMKIdelta
Q16566	CaMK4	CaMKIalpha	CAMK	CaMK	CAMK	KINASE	CaMKIalpha
Q16566	CaMK4	CaMKIdelta	CAMK	CaMK	CAMK	KINASE	CaMKIdelta
Q8IU85	CaMK1d	CaMKIdelta	CAMK	CaMK	CAMKID	KINASE	CaMKIdelta
Q16566	CaMK4	CaMKIbeta	CAMK	CaMK	CAMK	KINASE	CaMKIbeta
P11801	PSKH1	PSK_group	CAMK	/	/	KINASE	PSKH1
Q96QS6	PSKH2	PSK_group	CAMK	/	/	KINASE	PSKH2
P11801	PSKH1	PSKH1	CAMK	/	/	KINASE	PSKH1
Q96QS6	PSKH2	PSKH2	CAMK	/	/	KINASE	PSKH2
O15075	DCLK1	DCAMKL_group	CAMK	CaMK	DCAMKL1	KINASE	DCAMKL1
Q8N568	DCLK2	DCAMKL_group	CAMK	CaMK	DCAMKL2	KINASE	DCAMKL2
O15075	DCLK1	DCAMKL1_DCAMKL2_group	CAMK	CaMK	DCAMKL1	KINASE	DCAMKL1
Q8N568	DCLK2	DCAMKL1_DCAMKL2_group	CAMK	CaMK	DCAMKL2	KINASE	DCAMKL2
O15075	DCLK1	DCAMKL1	CAMK	CaMK	DCAMKL1	KINASE	DCAMKL1
Q8N568	DCLK2	DCAMKL2	CAMK	CaMK	DCAMKL2	KINASE	DCAMKL2
Q16566	CaMK4	CaMKII_group	CAMK	CaMK	CAMK	KINASE	CaMKIIalpha
Q16566	CaMK4	CaMKII_group	CAMK	CaMK	CAMK	KINASE	CaMKIIdelta
Q16566	CaMK4	CaMKII_group	CAMK	CaMK	CAMK	KINASE	CaMKIIbeta
Q16566	CaMK4	CaMKII_group	CAMK	CaMK	CAMK	KINASE	CaMKIIgamma
Q16566	CaMK4	CaMKIIalpha_CaMKIIdelta_group	CAMK	CaMK	CAMK	KINASE	CaMKIIalpha
Q16566	CaMK4	CaMKIIalpha_CaMKIIdelta_group	CAMK	CaMK	CAMK	KINASE	CaMKIIdelta
Q16566	CaMK4	CaMKIIalpha	CAMK	CaMK	CAMK	KINASE	CaMKIIalpha
Q16566	CaMK4	CaMKIIdelta	CAMK	CaMK	CAMK	KINASE	CaMKIIdelta
Q16566	CaMK4	CaMKIIbeta_CaMKIIgamma_group	CAMK	CaMK	CAMK	KINASE	CaMKIIbeta
Q16566	CaMK4	CaMKIIbeta_CaMKIIgamma_group	CAMK	CaMK	CAMK	KINASE	CaMKIIgamma
Q16566	CaMK4	CaMKIIbeta	CAMK	CaMK	CAMK	KINASE	CaMKIIbeta
Q16566	CaMK4	CaMKIIgamma	CAMK	CaMK	CAMK	KINASE	CaMKIIgamma
O14936	CASK	CASK	CAMK	CaMK; MAGUK family	/	KINASE	CASK
P15735	PHKg2	PHK_group	CAMK	/	/	KINASE	PHKg2
P15735	PHKg2	PHKg2	CAMK	/	/	KINASE	PHKg2
Q16644	MAPKAPK3	MAPKAPK_group	CAMK	MK2	/	KINASE	MAPKAPK3
Q8IW41	MAPKAPK5	MAPKAPK_group	CAMK	MK5	/	KINASE	MAPKAPK5
Q16644	MAPKAPK3	MAPKAPK2_MAPKAPK3_group	CAMK	MK2	/	KINASE	MAPKAPK3
Q16644	MAPKAPK3	MAPKAPK3	CAMK	MK2	/	KINASE	MAPKAPK3
Q8IW41	MAPKAPK5	MAPKAPK5	CAMK	MK5	/	KINASE	MAPKAPK5
Q9BUB5	MNK1	Mnk_group	CAMK	MNK	/	KINASE	Mnk1
Q9HBH9	MNK2	Mnk_group	CAMK	MNK	/	KINASE	Mnk2
Q9BUB5	MNK1	Mnk1	CAMK	MNK	/	KINASE	Mnk1
Q9HBH9	MNK2	Mnk2	CAMK	MNK	/	KINASE	Mnk2
Q9BZL6	PRKD2	PKD_group	CAMK	PKD	PKD2	KINASE	PKD2
Q9BZL6	PRKD2	PKD2	CAMK	PKD	PKD2	KINASE	PKD2
O96017	CHK2	CHK2	CAMK	CHK2	/	KINASE	CHK2
P54646	PRKAA2	AMPK_group	CAMK	SNF1	AMPK	KINASE	AMPKa1
P54646	PRKAA2	AMPK_group	CAMK	SNF1	AMPK	KINASE	AMPKa2
P54646	PRKAA2	AMPKa1	CAMK	SNF1	AMPK	KINASE	AMPKa1
P54646	PRKAA2	AMPKa2	CAMK	SNF1	AMPK	KINASE	AMPKa2
Q8IWQ3	BRSK2	BRSK_group	CAMK	SNF1	/	KINASE	BRSK2
Q8TDC3	BRSK1	BRSK_group	CAMK	SNF1	/	KINASE	BRSK1
Q8IWQ3	BRSK2	BRSK2	CAMK	SNF1	/	KINASE	BRSK2
Q8TDC3	BRSK1	BRSK1	CAMK	SNF1	/	KINASE	BRSK1
P27448	MARK3	MARK_group	CAMK	SNF1	/	KINASE	MARK3
Q7KZI7	MARK2	MARK_group	CAMK	SNF1	/	KINASE	MARK2
P27448	MARK3	MARK3_MARK2_MARK1_group	CAMK	SNF1	/	KINASE	MARK3
Q7KZI7	MARK2	MARK3_MARK2_MARK1_group	CAMK	SNF1	/	KINASE	MARK2
P27448	MARK3	MARK3	CAMK	SNF1	/	KINASE	MARK3
Q7KZI7	MARK2	MARK2_MARK1_group	CAMK	SNF1	/	KINASE	MARK2
Q7KZI7	MARK2	MARK2	CAMK	SNF1	/	KINASE	MARK2
Q9Y2K2	QSK	QIK_group	CAMK	SNF1	/	KINASE	QSK
P57059	SIK	QIK_group	CAMK	AMPK	/	KINASE	SIK
Q9Y2K2	QSK	QSK	CAMK	SNF1	/	KINASE	QSK
P57059	SIK	QIK_SIK_group	CAMK	AMPK	/	KINASE	SIK
P57059	SIK	SIK	CAMK	AMPK	/	KINASE	SIK
O60285	NuaK1	NuaK_group	CAMK	SNF1	/	KINASE	NuaK1
Q9H093	NuaK2	NuaK_group	CAMK	SNF1	/	KINASE	NuaK2
O60285	NuaK1	NuaK1	CAMK	SNF1	/	KINASE	NuaK1
Q9H093	NuaK2	NuaK2	CAMK	SNF1	/	KINASE	NuaK2
Q14680	MELK	MELK	CAMK	SNF1	/	KINASE	MELK
O14757	CHK1	CHK1	CAMK	NIM1	/	KINASE	CHK1
Q15831	LKB1	LKB1	CAMK	LKB1	/	KINASE	LKB1
Q8IY84	NIM1	NIM1	CAMK	NIM1	/	KINASE	NIM1
Q9NRH2	SNRK	SNRK	CAMK	SNRK	/	KINASE	SNRK
Q9BXA6	SSTK	TSSK_group	CAMK	/	/	KINASE	SSTK
Q96PN8	TSSK3	TSSK_group	CAMK	/	/	KINASE	TSSK3
Q96PF2	TSSK2	TSSK_group	CAMK	/	/	KINASE	TSSK2
Q9BXA7	TSSK1	TSSK_group	CAMK	/	/	KINASE	TSSK1
Q9BXA6	SSTK	SSTK_TSSK3_TSSK2_TSSK1_group	CAMK	/	/	KINASE	SSTK
Q96PN8	TSSK3	SSTK_TSSK3_TSSK2_TSSK1_group	CAMK	/	/	KINASE	TSSK3
Q96PF2	TSSK2	SSTK_TSSK3_TSSK2_TSSK1_group	CAMK	/	/	KINASE	TSSK2
Q9BXA7	TSSK1	SSTK_TSSK3_TSSK2_TSSK1_group	CAMK	/	/	KINASE	TSSK1
Q9BXA6	SSTK	SSTK_TSSK3_group	CAMK	/	/	KINASE	SSTK
Q96PN8	TSSK3	SSTK_TSSK3_group	CAMK	/	/	KINASE	TSSK3
Q9BXA6	SSTK	SSTK	CAMK	/	/	KINASE	SSTK
Q96PN8	TSSK3	TSSK3	CAMK	/	/	KINASE	TSSK3
Q96PF2	TSSK2	TSSK2_TSSK1_group	CAMK	/	/	KINASE	TSSK2
Q9BXA7	TSSK1	TSSK2_TSSK1_group	CAMK	/	/	KINASE	TSSK1
Q96PF2	TSSK2	TSSK2	CAMK	/	/	KINASE	TSSK2
Q9BXA7	TSSK1	TSSK1	CAMK	/	/	KINASE	TSSK1
Q86V86	PIM3	Pim_group	CAMK	PIM	/	KINASE	Pim3
P11309	PIM1	Pim_group	CAMK	PIM	/	KINASE	Pim1
Q9P1W9	PIM2	Pim_group	CAMK	PIM	/	KINASE	Pim2
Q86V86	PIM3	Pim3_Pim1_group	CAMK	PIM	/	KINASE	Pim3
P11309	PIM1	Pim3_Pim1_group	CAMK	PIM	/	KINASE	Pim1
Q86V86	PIM3	Pim3	CAMK	PIM	/	KINASE	Pim3
P11309	PIM1	Pim1	CAMK	PIM	/	KINASE	Pim1
